transaction_id,region,country,product,customer,sales_rep,transaction_date,timestamp,quantity,unit_price,total_amount,order_status,payment_method,product_details,customer_info
TXN_000001,North America,USA,Clothing,Penny Clark,Edwin Edwards,07-09-2022,07-05-2025 16:15,2,1357.71,2715.42,Returned,Credit Card,"{""category"": ""Clothing"", ""subcategory"": ""Women"", ""brand"": ""Nike"", ""specs"": ""All street stop somebody number."", ""ratings"": 2.7}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""Hybrid""}"
TXN_000002,North America,Canada,Clothing,Sara Waters,Jodi White,03-11-2023,17-08-2025 09:53,2,768.68,1537.36,Pending,Credit Card,"{""category"": ""Clothing"", ""subcategory"": ""Men"", ""brand"": ""Nike"", ""specs"": ""Start draw several soon street region case majority."", ""ratings"": 2.0}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000003,South America,Argentina,Clothing,Lynn Gates,Jessica Miller,18-05-2025,08-06-2025 00:24,2,463.39,926.78,Returned,Credit Card,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Adidas"", ""specs"": ""Wife anything business agree finish nothing gas."", ""ratings"": 3.0}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Online""}"
TXN_000004,South America,Chile,Electronics,Brian Richards,Randy Harvey,21-05-2023,13-08-2025 07:27,3,110.23,330.69,Pending,Cash,"{""category"": ""Electronics"", ""subcategory"": ""Accessories"", ""brand"": ""Samsung"", ""specs"": ""Some cup friend than tell."", ""ratings"": 1.8}","{""segment"": ""Standard"", ""demographics"": ""Senior"", ""preferences"": ""In-store""}"
TXN_000005,South America,Chile,Sports,Elizabeth Taylor,Francis Patel,28-10-2024,27-05-2025 16:33,2,1667.75,3335.5,Returned,Debit Card,"{""category"": ""Sports"", ""subcategory"": ""Outdoor"", ""brand"": ""Decathlon"", ""specs"": ""Leader test should lawyer fund technology son."", ""ratings"": 1.3}","{""segment"": ""Standard"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000006,Europe,Italy,  Sports  ,Christopher Duncan,Wayne Gray,24-08-2020,17-03-2025 21:14,1,1812.55,1812.55,Pending,PayPal,"{""category"": ""Sports"", ""subcategory"": ""Fitness"", ""brand"": ""Under Armour"", ""specs"": ""Entire student law when."", ""ratings"": 4.3}","{""segment"": ""Premium"", ""demographics"": ""Young"", ""preferences"": ""In-store""}"
TXN_000007,Africa,Nigeria,Clothing,Alan Stein,David Moore,24-02-2020,07-08-2025 03:35,10,235.45,2354.5,Cancelled,Debit Card,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Adidas"", ""specs"": ""Last leave surface cost."", ""ratings"": 3.9}","{""segment"": ""Premium"", ""demographics"": ""Middle-aged"", ""preferences"": ""Hybrid""}"
TXN_000008,North America,USA,Clothing,Nicole Huber,Traci Carlson,13-03-2025,18-06-2025 22:19,5,1111.91,5559.55,Cancelled,PayPal,"{""category"": ""Clothing"", ""subcategory"": ""Kids"", ""brand"": ""Puma"", ""specs"": ""Range late growth movement."", ""ratings"": 3.9}","{""segment"": ""Budget"", ""demographics"": ""Young"", ""preferences"": ""In-store""}"
TXN_000009,Europe,Italy,Electronics,Sara Hopkins,Debra Horton,11-03-2024,17-04-2025 03:04,4,728.1,2912.4,Pending,PayPal,"{""category"": ""Electronics"", ""subcategory"": ""Accessories"", ""brand"": ""Apple"", ""specs"": ""Student right smile president environment north."", ""ratings"": 4.4}",NULL
TXN_000010,South America,Argentina,Home & Garden,Stacey Holland,James George,12-11-2023,03-02-2025 05:50,9,418.77,3768.93,Completed,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Kitchen"", ""brand"": ""Home Depot"", ""specs"": ""Much this can successful one."", ""ratings"": 4.5}","{""segment"": ""Premium"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000010,South America,Argentina,Home & Garden,Stacey Holland,James George,12-11-2023,03-02-2025 05:50,9,,3768.93,Completed,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Kitchen"", ""brand"": ""Home Depot"", ""specs"": ""Much this can successful one."", ""ratings"": 4.5}","{""segment"": ""Premium"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
TXN_000010,South America,Argentina,Home & Garden,Stacey Holland,James George,12-11-2023,03-02-2025 05:50,9,418.77,3768.93,Completed,Debit Card,"{""category"": ""Home & Garden"", ""subcategory"": ""Kitchen"", ""brand"": ""Home Depot"", ""specs"": ""Much this can successful one."", ""ratings"": 4.5}","{""segment"": ""Premium"", ""demographics"": ""Senior"", ""preferences"": ""Online""}"
